Study number,Study code,Study reference,Experiment number,Study short name,Retrieved from,Document Type,On money priming?,Empirical?,Random Assignment,Neutral Comparison?,Eligible?,Why not?,Able to compute effect size?,Included?,Notes,dep,prime,prime (extra notes).,year ,jrnl,published,replication,Preregistered,Prime Type (coder 1),Prime Type (coder 2),Prime Type (coder agreement),Prime Type (final code),Setting (coder 1),Setting (coder 2),Setting (code agreement),Setting (final code),Behavioral vs non-behavioral (coder 1),Behavioral vs non-behavioral (coder 2),Behavioral vs non-behavioral (code agreement),Behavioral vs. Non-behavioral,Problems?,Multiple DV?,Interaction?,Notes ,2nd factor,Simple main effect,Interaction Identification (1=Largest predicted effect),Notes,Contact Author?,Information to seek,Aggregated across DVs?,d,var of d,g,var of g,Notes.,Notes:    1st DV,Effect size (D) (Reported),significance,n1,n2,N,m1 ,m2,sd1,sd2,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,percent1,percent2,Odds ratio,A,B,C,D,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 2nd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 3rd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,Notes,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g
221,221,"Kuzminska, A. O., Wieczorkowska-Wierzbinska, G., Vohs, K. D., Zareba, T. (2016). Is exposure to money always harmful to people's social life? Habituation as a result of repeated activation of the concept of money. ",,,E-mail,Unpublished,1,1,1,0,1,,0,0,Cannot compute effect size,DV1: Physical distance (Distance between chairs). DV2: Trust towards confederate.,Counting money,,2016,Unpublished,0,0,,3,3,1,3,1,1,1,1,,,,,0,1,1,Multiple DV,Real job of participant (Money vs. non-money).,Job = Money,0,,1,1) Means and SD for 'job=money'. 2) Correlation between two DVs for 'job=money'. ,,,,,,No response,DV1: Physical Distance,,,,,,,,,,-1,#DIV/0!,,,0,,,,,,,,,,,,,,,,DV2: Trust,,,,,,,,,,-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
221,221,"Kuzminska, A. O., Wieczorkowska-Wierzbinska, G., Vohs, K. D., Zareba, T. (2016). Is exposure to money always harmful to people's social life? Habituation as a result of repeated activation of the concept of money. ",,,E-mail,Unpublished,1,1,1,0,1,,0,0,Cannot compute effect size,DV1: Physical distance (Distance between chairs). DV2: Trust towards confederate.,Counting money,,2016,Unpublished,0,0,,3,3,1,3,1,1,1,1,,,,,0,1,1,Multiple DV,Real job of participant (Money vs. non-money).,Job = Non-money,1,,1,1) Means and SD for 'job=Non-money'. 2) Correlation between two DVs for 'job=non-money'. ,,,,,,No response,DV1: Physical Distance,,,,,,,,,,1,#DIV/0!,,,0,,,,,,,,,,,,,,,,DV2: Trust,,,,,,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
220,220g,"Caruso, E. M. & Shapiro, O. (2015): Money-Political Beliefs Summary v2 (CORRECTED).xls",Social Dominance Orientation 2,"Caruso, E. M. & Shapiro, O. (2015), Study Social Dominance Orientation 2",E-mail,Unpublished,1,1,1,0,1,,1,1,,Social Dominance Orientation,Sentence descrambling,,2015,Unpublished,0,1,0,2,2,1,2,3,3,1,3,2,2,1,2,0,0,0,,,,,,,,0,-0.053,0.02,-0.053,0.02,,Social Dominance Orientation,,,100,100,200,2.51,2.57,1.03,1.22,-1,-0.053144188,0.020007061,-0.05294263,0.019855588,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
220,220d,"Caruso, E. M. & Shapiro, O. (2015): Money-Political Beliefs Summary v2 (CORRECTED).xls",System Justification ,"Caruso, E. M. & Shapiro, O. (2015), Study System Justification ",E-mail,Unpublished,1,1,1,0,1,,1,1,,System Justification,Pictures,background image (dollars vs. blurred image),2015,Unpublished,0,1,0,1,1,1,1,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,0.606,0.06,0.599,0.055,,System justification,,,34,41,75,3.67,3.11,0.93,0.92,1,0.605710589,0.056247911,0.59946615,0.055094138,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
225,225a,"Caruso, E. M. & Shapira, O. & Landy, J. F. (2017) Show Me the Money: A Systematic Exploration of Manipulations, Moderators, and Mechanisms of Priming Effects. Psychological Science, 28(8), 1148-1159.",1,"Caruso, E. M. & Shapira, O. & Landy, J. F. (2017), Study 1",E-mail,Journal,1,1,1,1,1,,1,1,,Various,Various,,2017,Psychological Science,1,0,1,5,5,1,5,2,2,1,2,2,2,1,2,0,1,0,,,,,,1,"Information to handle mutiple DVs (i.e., correlation)",1,-0.04,0.01,-0.04,0.012,,,,,,,2167,,,,,,#DIV/0!,#DIV/0!,-0.039986142,0.012291479,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
225,225b,"Caruso, E. M. & Shapira, O. & Landy, J. F. (2017) Show Me the Money: A Systematic Exploration of Manipulations, Moderators, and Mechanisms of Priming Effects. Psychological Science, 28(8), 1148-1159.",2,"Caruso, E. M. & Shapira, O. & Landy, J. F. (2017), Study 2",E-mail,Journal,1,1,1,1,1,,1,1,,Various,Various,,2017,Psychological Science,1,0,1,5,5,1,5,2,2,1,2,2,2,1,2,0,1,0,,,,,,1,"Information to handle mutiple DVs (i.e., correlation)",1,-0.013,0,-0.013,0.002,,,,,,,2150,,,,,,#DIV/0!,#DIV/0!,-0.01299546,0.002298394,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
225,225c,"Caruso, E. M. & Shapira, O. & Landy, J. F. (2017) Show Me the Money: A Systematic Exploration of Manipulations, Moderators, and Mechanisms of Priming Effects. Psychological Science, 28(8), 1148-1159.",3,"Caruso, E. M. & Shapira, O. & Landy, J. F. (2017), Study 3",E-mail,Journal,1,1,1,1,1,,1,1,,Various,Various,,2017,Psychological Science,1,1,1,5,5,1,5,1,1,1,1,3,3,1,3,0,1,0,,,,,,1,"Information to handle mutiple DVs (i.e., correlation)",1,0.03,0.01,0.03,0.012,,,,,,,332,,,,,,#DIV/0!,#DIV/0!,0.029931766,0.012045021,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222a,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",1,"Schuler, J. (2016), Study 1",E-mail,Unpublished,1,1,1,1,1,,1,1,,Helpfulness,Images,Money vs. leafs,2016,Unpublished,0,0,0,1,1,1,1,2,2,1,2,2,2,1,2,0,1,0,,,,,,1,Correlation between the three DVs of interest,0,-0.267,0.03,-0.265,0.032,,Helping ,,0,62,62,124,3.97,3.79,0.68,0.67,-1,-0.266659351,0.032544787,-0.265016686,0.03214506,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222h,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",12,"Schuler, J. (2016), Study 12",E-mail,Unpublished,1,1,1,1,1,,1,1,,Fair Market Ideology,Sentence descrambling,,2016,Unpublished,0,?,0,2,2,1,2,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.132,0.03,0.132,0.028,,Fair Market Ideology,,0,71,72,143,0.22,0.07,1.128,1.15,1,0.132381599,0.028034672,0.131676191,0.027736697,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222i,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",13,"Schuler, J. (2016), Study 13",E-mail,Unpublished,1,1,1,1,1,,1,1,,Categorization Task (Construal Level),Pictures,images money vs. Stones (control),2016,Unpublished,0,?,0,1,1,1,1,2,2,1,2,1,2,0,2,0,0,0,,,,,,,,0,0.271,0.05,0.269,0.049,,Categorization Task (Construal Level),,0,75,28,103,6.37,7,2.11,2.84,1,0.270655986,0.049403224,0.268641177,0.04867043,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222b,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",2,"Schuler, J. (2016), Study 2",E-mail,Unpublished,1,1,1,1,1,,1,1,,aestatetic appeal of a product favoured by the majority,Finding arguments for paying with cash or credit card,"Preferring to pay with cash or credit card and finding arguments for it vs. Preferring to buy online vs. In shops (see Hansen et al., 2012)",2016,Unpublished,0,0,0,4,4,1,4,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,-0.127,0.02,-0.126,0.017,,aestatetic appeal of a product favoured by the majority ,,0,119,122,241,3.96,3.76,1.59,1.57,-1,-0.1265898,0.016633329,-0.126192136,0.016528991,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222c,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",3,"Schuler, J. (2016), Study 3",E-mail,Unpublished,1,1,1,1,1,,1,1,,DV1: Importance of helping goals (Aspiration). . This was predicted by authors to have largest effect.,Sentence descrambling,,2016,Unpublished,0,0,0,2,2,1,2,2,2,1,2,2,2,1,2,0,1,0,,,,,,1,Correlation between the two DVs of interest,0,-0.346,0.02,-0.344,0.022,,DV1: Importance of helping goals (Aspiration),,1,93,91,184,5.6,5.19,1.042,1.296,-1,-0.345681916,0.022066417,-0.344255443,0.021884676,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222d,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",4,"Schuler, J. (2016), Study 4",E-mail,Unpublished,1,1,1,1,1,,1,1,,Belief in a Just World,Sentence descrambling,,2016,Unpublished,0,?,0,2,2,1,2,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,-0.369,0.03,-0.367,0.034,,Belief in Just World,,1,58,60,118,3.83,4.03,0.57,0.54,-1,-0.36940659,0.034486272,-0.367013027,0.034040813,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222e,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",6,"Schuler, J. (2016), Study 6",E-mail,Unpublished,1,1,1,1,1,,1,1,,"hiring scenario/unethical decision making (see Kouchaki et al., 2013)",Estimating the amount of a stack of money ,vs a stack of coloured paper,2016,Unpublished,0,?,0,3,3,1,3,3,3,1,3,1,2,0,2,0,0,0,,,,,,,,0,0.168,0.05,0.167,0.049,,hiring scenario/unethical decision making,,0,39,41,80,3.95,3.61,1.91,2.12,1,0.16828178,0.050208262,0.166658483,0.049244286,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222f,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",7,"Schuler, J. (2016), Study 7",E-mail,Unpublished,1,1,1,1,1,,1,0,"Experiment contained a bug, as noted by Schüler in personal communication",Social Dominance Orientation,Sentence descrambling,"modified Descrambling Task (my vs. Their money, see Schuler&Wänke, 2016)",2016,Unpublished,0,1,0,2,2,1,2,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.093,0.04,0.093,0.037,,Social Dominance Orientation,,0,79,41,120,2.81,2.71,1.11,0.99,1,0.09338553,0.037084809,0.092790718,0.036613895,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
222,222g,"Schuler, J. (2016). Meta-Analysis_Money-priming_Datasheet_editJS",8,"Schuler, J. (2016), Study 8",E-mail,Unpublished,1,1,1,1,1,,1,1,,DV1: Helping intention predicted to have the largest effect,Sentence descrambling,,2016,Unpublished,0,1,0,2,2,1,2,1,1,1,1,2,2,1,2,0,1,0,,,,,,1,Correlation between the three DVs of interest,0,-0.112,0.05,-0.11,0.049,,DV1: Helping intention,,,42,38,80,5.74,5.61,1.33,0.95,-1,-0.111559613,0.050203098,-0.110483475,0.049239221,,,,,,,,,,,,,,,,DV2: Amount of money donated,,,42,38,80,1.88,2,2.75,2.56,1,0.045086284,0.050138018,0.044651368,0.049175391,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
223,223a,"Kuzminska, A. O. & Wieczorkowska-Wierzbinska, G. (2016). Frequent Exposure to Money Primes (file drawer) -  ",1,"Kuzminska, A. O. & Wieczorkowska-Wierzbinska, G. (2016), Study 1",E-mail,Unpublished,1,1,1,1,1,,1,1,,DV1: Desire to engage in leisure activities. DV2: Tolerance for social exclusion. DV3: Cooperativeness DV4: Helpfulness,Pictures,,2016,Unpublished,0,0,0,1,1,1,1,2,2,1,2,2,3,0,3,0,1,0,"Two money conditions. Frequent exposure to money vs. non-frequent exposure to money. Here, I used the non-frequent exposure, based on the authors other study on habitiation. ",,,,,,,1,-0.052,0,-0.051,0.004,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
223,223b,"Kuzminska, A. O. & Wieczorkowska-Wierzbinska, G. (2016). Frequent Exposure to Money Primes (file drawer) -  ",2 (replication),"Kuzminska, A. O. & Wieczorkowska-Wierzbinska, G. (2016), Study 2 (replication)",E-mail,Unpublished,1,1,1,1,1,,1,1,,DV1: Desire to engage in leisure activities. DV2: Tolerance for social exclusion. DV3: Cooperativeness DV4: Helpfulness,Pictures,,2016,Unpublished,0,1,0,1,1,1,1,99,99,1,99,2,3,0,3,0,1,0,,,,,,,,1,0.032,0,0.032,0.007,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
224,224,"Pashler, H. & Harris, C. R. (2016)",1,"Pashler, H. & Harris, C. R. (2016), Study 1",E-mail,Unpublished,1,1,1,1,1,,1,1,,Time before requesting help,Sentence descrambling AND money on the desk,Play money: Monopoly money on desk.,2016,Unpublished,0,1,1,5,5,1,5,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,0,-0.181,0.03,-0.18,0.033,,,,0,80,47,127,270.68,294.57,128.805,138.141,-1,-0.180622746,0.033905039,-0.179536838,0.033498589,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
301,301a,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases
endorsement of free-market systems and social inequality. Journal of Experimental Psychology:
General, 142, 301-306.",1,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013), Study 1",E-mail,Journal,1,1,1,1,1,,1,1,,System Justification ,Pictures,,2013,Journal of Experimental Psychology: General,1,0,0,1,1,1,1,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,0.788,0.14,0.767,0.136,,System Justification,0.8,1,15,15,30,4.96,3.99,1.27,1.19,1,0.788201207,0.143687686,0.766898471,0.136025742,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
301,301b,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases
endorsement of free-market systems and social inequality. Journal of Experimental Psychology:
General, 142, 301-306.",2,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013), Study 2",E-mail,Journal,1,1,1,1,1,,1,1,,Belief in a Just World,Sentence descrambling,,2013,Journal of Experimental Psychology: General,1,0,0,2,2,1,2,1,1,1,1,2,2,1,2,0,0,0,,,,,,,,0,0.436,0.02,0.434,0.024,,Belief in Just World,0.44,1,84,84,168,2.53,2.32,0.52,0.44,1,0.435988769,0.024375257,0.434015969,0.024155165,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
301,301c,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases
endorsement of free-market systems and social inequality. Journal of Experimental Psychology:
General, 142, 301-306.",3,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013), Study 3",E-mail,Journal,1,1,1,1,1,,1,1,,Social Dominance Orientation,Sentence descrambling,,2013,Journal of Experimental Psychology: General,1,0,0,2,2,1,2,3,3,1,3,2,2,1,2,0,0,0,,,,,,,,0,0.5,0.05,0.495,0.051,,Social Dominance Orientaion,0.51,1,40,40,80,3.2,2.56,1.32,1.24,1,0.499756038,0.051560976,0.49493524,0.050571028,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
301,301d,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases
endorsement of free-market systems and social inequality. Journal of Experimental Psychology:
General, 142, 301-306.",4,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013), Study 4",E-mail,Journal,1,1,1,1,1,,1,1,,Fair Market Ideology,Pictures,,2013,Journal of Experimental Psychology: General,1,0,0,1,1,1,1,2,2,1,2,2,2,1,2,0,0,0,,,,,,,,0,0.279,0.01,0.278,0.015,,Fair Market Ideology,,1,137.5,137.5,275,0.65,0.37,0.98,1.03,1,0.278520805,0.014686498,0.277754936,0.01460584,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
301,301e,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases
endorsement of free-market systems and social inequality. Journal of Experimental Psychology:
General, 142, 301-306.",5,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013), Study 5",E-mail,Journal,1,1,1,1,1,,1,1,,Fair Market Ideology,Pictures,,2013,Journal of Experimental Psychology: General,1,0,0,1,1,1,1,3,3,1,3,2,2,1,2,0,1,1,Two DVs. But authors predicted larger effect for FMI,Nationaility (US vs. Non-US),Nationality = Non-US,0,,,,0,-0.555,0.09,-0.545,0.087,,Fair Market Ideology,,0,23,23,46,-0.92,0.47,2.72,2.27,-1,-0.554862588,0.090302962,-0.545350658,0.087233398,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
303,303b,"Gasiorowska, A., Zaleskiewicz, T., & Wygrab, S. (2012). Would you do something for me? The
effects of money activation on social preferences and social behavior in young children.
Journal of Economic Psychology, 33, 603-608.",2,"Gasiorowska, A., Zaleskiewicz, T., & Wygrab, S. (2012), Study 2",E-mail,Journal,1,1,1,1,1,,1,1,Extremely large effect size that deviates significantly from the overall body of effect sizes,Number of crayons brought to experimenter (indicative of willingness to help),Counting coins/bank notes,,2012,Journal of Economic Psychology,1,0,0,3,3,1,3,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,0,2.973,0.07,2.955,0.069,,,,1,60,60,120,17.8,32.37,4.9,4.9,1,2.973469388,0.070173001,2.954530092,0.069281924,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
301,301e,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases
endorsement of free-market systems and social inequality. Journal of Experimental Psychology:
General, 142, 301-306.",5,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013), Study 5",E-mail,Journal,1,1,1,1,1,,1,1,,Fair Market Ideology,Pictures,,2013,Journal of Experimental Psychology: General,1,0,0,1,1,1,1,3,3,1,3,2,2,1,2,0,1,1,Two DVs. But authors predicted larger effect for FMI,Nationaility (US vs. Non-US),Nationality = US,1,,,,0,0.621,0.09,0.61,0.088,,Fair Market Ideology,,1,23,23,46,1.1,-0.36,2.29,2.41,1,0.621074196,0.091149273,0.61042721,0.088050942,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
304,304a,"Zhou, X., Vohs, K. D., & Baumeister, R. F. (2009). The symbolic power of money: Reminders of money alter social distress and physical pain. Psychological Science, 20, 700–706.",3,,E-mail,Journal,1,1,1,1,1,,0,0,,Distress Rating,Counting money,,2009,Psychological Science,1,0,,3,3,1,3,1,1,1,1,,,,,0,0,1,,Social Exclusion (Excluded vs. Included),Social Exclusion = Included,0,,1,Author no longer have the data. ,,,,,,Author no longer have data. ,,,,,,,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,F,<1,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
302,302a,"Mogilner, C. (2010). The Pursuit of Happiness Time, Money, and Social Connection. Psychological
Science, 21(9), 1348-1354.",1a,"Mogilner, C. (2010), Study 1a",E-mail,Journal,1,1,1,1,1,,1,1,,Intentions to engage in the following 4 DVs. DV1: Intimate relations. DV2: Socializing. DV3: Working. DV4: Commuting,Sentence descrambling,,2010,Psychological Science,1,0,0,2,2,1,2,2,2,1,2,2,2,1,2,0,1,0,,,,,,1,Correlation between the 4 DVs of interest,1,0.341,0.01,0.339,0.011,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
